state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
CA,304297,4871440,0,7896,5109,2005,759,180,197,0,B,6851,5109,5175737,39620,407151,304297,1900,149,7798,89505,5175737,5175737,97303,5175737,140,0
CO,35525,341615,0,318,5831,379,759,180,197,4691,A,1581,5831,485619,39620,407151,32546,1900,149,409,6029,377140,377140,6438,377140,37,11
CT,47287,511174,0,77,10552,379,759,180,197,8351,B,4348,10552,556230,39620,407151,45056,3476,871,78,-59,558461,558461,19,558461,0,0
DC,10743,110141,0,96,5109,26,759,18,197,1703,A+,568,5109,485619,39620,407151,38775,1900,149,64,4897,120884,120884,4961,120884,0,0
DE,12652,120056,0,58,5109,11,759,180,197,6949,A+,517,5109,485619,39620,407151,11608,460,57,121,2382,132708,132708,2503,132708,0,0
FL,244151,2177476,1911,6974,17916,379,759,180,197,0,A,4203,17916,2945253,305374,2633526,244151,4203,149,11433,52796,2423538,2421627,64229,2421627,92,437
GA,111211,935137,0,2443,12937,379,2565,180,197,0,A,2965,12937,1046348,101057,945291,111211,1900,149,4484,22442,1046348,1046348,26926,1046348,35,331
GU,310,16556,0,3,5109,379,759,180,197,202,B,5,5109,16858,39620,407151,302,1900,149,1,333,16866,16866,334,16866,0,0
HI,1130,89465,0,961,123,379,759,180,197,840,D,19,123,107009,39620,407151,38775,1900,149,36,1407,90595,90595,1443,90595,0,1
IA,33984,328264,0,169,5109,54,759,26,197,25891,A+,743,5109,485619,39620,407151,33984,1900,149,744,6845,362248,362248,7589,362248,4,0
ID,9428,108650,0,124,432,29,137,180,197,3022,A,100,432,117390,39620,407151,8740,80,20,459,2999,118078,118078,3458,118078,2,21
IL,152899,1759976,0,1436,5109,306,759,155,197,0,A,7345,5109,1911743,39620,407151,151767,7144,201,1327,31670,1912875,1912875,32997,1912875,16,0
IN,50300,500262,0,667,7458,217,1577,87,197,38120,A+,2748,7458,485619,39620,407151,38775,2555,193,725,7545,550562,550562,8270,550562,9,72
KS,18611,199168,0,961,1304,379,405,180,160,905,A,284,1304,485619,39620,407151,38775,1900,149,993,8304,217779,217779,9297,217779,2,35
KY,18670,414020,0,409,2763,70,1012,180,197,5258,B,620,2763,485619,39620,407151,17890,616,4,425,8252,432690,432690,8677,432690,8,16
LA,74636,830612,0,1117,5109,379,759,122,197,46334,B,3380,5109,485619,39620,407151,38775,3272,108,2642,22466,905248,905248,25108,905248,25,0
MA,111110,827506,0,632,11582,98,759,47,197,94347,A+,8296,11582,1187832,39620,407151,105290,8081,215,213,12642,938616,938616,12855,938616,28,23
MD,71910,549153,0,385,11300,122,759,180,197,5157,A,3303,11300,774693,39620,407151,71910,3172,131,463,8019,621063,621063,8482,621063,15,79
ME,3499,114907,0,15,366,7,759,4,197,2931,A+,111,366,118017,4287,113562,3110,110,1,13,2635,118406,118406,2648,118406,0,1
MI,75685,1171120,0,505,5109,174,759,92,197,52841,A+,6285,5109,1265344,94224,1171120,68295,6039,246,622,22630,1246805,1246805,23252,1246805,14,0
MN,40767,685058,0,227,4329,124,1320,180,197,35442,A,1533,4329,725825,39620,407151,40767,1495,38,604,19781,725825,725825,20385,725825,5,24
MO,25999,428826,0,886,5109,379,759,79,197,0,B,1051,5109,576537,31075,544522,25999,1900,149,0,0,454825,454825,0,454825,0,0
MP,31,10734,0,961,4,379,759,180,197,19,D,2,4,11335,39620,407151,31,2,149,0,0,10765,10765,0,10765,0,0
MS,34622,295690,0,981,3455,205,759,103,197,22167,A,1215,3455,330011,39620,407151,34321,1195,20,1031,4477,330312,330312,5508,330312,11,41
MT,1593,110585,0,21,123,379,759,180,197,855,C,28,123,485619,39620,407151,1593,1900,149,127,3286,112178,112178,3413,112178,3,3
NC,81331,1069281,0,1046,5109,379,759,180,197,55318,A,1479,5109,485619,39620,407151,81331,1479,149,1982,26819,1150612,1150612,28801,1150612,18,0
ND,4154,115442,0,33,260,379,759,180,197,3496,D,78,260,219737,39620,407151,4154,74,4,84,1663,119596,119596,1747,119596,0,3
NE,20623,180391,0,100,1419,379,759,180,197,15206,B,284,1419,485619,39620,407151,20623,1900,149,198,2981,201014,201014,3179,201014,2,14
NH,5973,125078,0,24,581,379,189,180,197,4831,B,387,581,485619,39620,407151,5973,1900,149,21,1402,131051,131051,1423,131051,1,3
NJ,174628,1448530,0,904,20567,162,759,94,197,31014,A+,15479,20567,485619,39620,407151,174628,13532,1947,388,23353,1623158,1623158,23741,1623158,31,62
NM,14251,381630,0,154,2137,379,759,180,197,6118,B,533,2137,485619,39620,407151,14251,1900,149,234,5960,395881,395881,6194,395881,6,36
NV,25908,309583,0,924,5109,248,759,111,197,764,A+,579,5109,416707,39620,407151,25908,1900,149,1004,4709,335491,335491,5713,335491,8,0
NY,400299,4141275,0,826,89995,178,759,92,197,71371,A,24968,89995,485619,39620,407151,400299,1900,149,786,72772,4541574,4541574,73558,4541574,9,0
OH,62856,896697,0,928,8701,289,2161,151,197,43435,B,3032,8701,485619,39620,407151,59000,2776,256,1525,41626,959553,959553,43151,959553,26,131
OK,19092,391982,0,487,1949,217,759,180,197,14648,A+,416,1949,414197,21345,391982,19092,1900,149,596,8724,411074,411074,9320,411074,6,56
OR,11454,275316,0,208,1180,56,759,30,197,3009,A+,232,1180,485619,39620,275316,10881,1900,149,266,4429,286770,286770,4695,286770,2,18
PA,93876,804764,0,653,5109,379,759,103,197,72284,A+,6880,5109,485619,39620,407151,91206,1900,149,1009,17608,898640,898640,18617,898640,32,0
PR,9137,255766,0,140,5109,12,759,10,197,0,B,159,5109,258001,3966,253922,2351,64,95,275,0,264903,264903,275,264903,0,0
RI,17312,149343,0,61,2051,4,759,5,197,1685,A+,976,2051,278357,24885,253472,17312,1900,149,69,1449,166655,166655,1518,166655,2,8
SC,52419,422816,0,1438,3398,379,759,180,197,20956,A,929,3398,475089,65868,409221,52273,922,7,1728,9742,475235,475235,11470,475235,24,308
SD,7401,81141,0,65,726,379,759,180,197,6408,B,107,726,485619,39620,407151,38775,1900,149,65,1167,88542,88542,1232,88542,6,8
TN,59546,935029,0,1184,3146,379,759,180,197,34740,A,723,3146,994114,69283,924831,59085,697,26,1955,19906,994575,994575,21861,994575,13,58
TX,240111,2149678,0,10002,5109,379,759,180,197,122996,B,3013,5109,2389789,39620,407151,240111,1900,149,9765,66812,2389789,2389789,76577,2389789,95,0
UT,28223,367751,0,229,1748,79,477,180,205,16261,A+,207,1748,485619,39620,407151,28223,1900,149,867,6374,395974,395974,7241,395974,2,48
VA,68931,699794,378,1006,10195,234,759,102,197,9189,A+,1958,10195,765889,39620,407151,66095,1853,105,943,14354,769103,768725,15297,768725,21,174
VI,153,3473,53,961,5109,379,759,180,197,87,C,6,5109,485619,39620,407151,38775,6,149,9,103,3679,3626,112,3626,0,0
VT,1277,72821,0,11,5109,379,759,180,197,1066,B,56,5109,485619,39620,407151,1277,56,149,5,1344,74098,74098,1349,74098,0,0
WA,38581,621749,0,326,4665,379,759,60,197,0,B,1409,4665,485619,39620,407151,38581,1409,149,640,14618,660330,660330,15258,660330,15,35
WI,38099,635411,151,274,3766,77,792,180,197,27329,A+,821,3766,485619,39620,407151,34753,814,7,889,11857,673661,673510,12746,673510,5,40
WV,3983,197220,0,56,5109,16,759,7,197,2756,B,95,5109,485619,39620,407151,3872,1900,149,157,3857,201203,201203,4014,201203,0,0
WY,1790,38077,0,12,121,379,759,180,197,1327,B,21,121,54917,1592,53324,1445,1900,149,16,806,39867,39867,822,39867,0,0
AK,1272,134472,0,28,5109,379,759,0,197,571,A,17,5109,135744,39620,407151,1272,17,149,46,2297,135744,135744,2343,135744,0,0
AL,49174,421330,0,1135,3039,379,877,180,490,25783,B,1068,3039,485619,39620,407151,48588,1042,26,2212,0,470504,470504,2212,470504,10,33
AR,26052,338609,0,394,1705,379,759,82,284,19992,A,309,1705,364661,39620,407151,26052,1900,149,1540,9849,364661,364661,11389,364661,8,50
AS,0,816,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,0,816,816,0,816,0,0
AZ,112671,540390,0,3437,5526,861,759,575,197,13341,A+,2038,5526,652418,39620,407151,112028,1917,121,4057,7934,653061,653061,11991,653061,75,139
CA,296499,4781935,0,7821,5109,1957,759,180,197,0,B,6711,5109,5078434,39620,407151,296499,1900,149,7031,75228,5078434,5078434,82259,5078434,149,0
CO,35116,335586,0,335,5820,379,759,180,197,4669,A,1544,5820,485619,39620,407151,32138,1900,149,452,5177,370702,370702,5629,370702,2,79
CT,47209,511233,0,90,10552,379,759,180,197,8351,B,4348,10552,556230,39620,407151,44997,3476,872,101,12338,558442,558442,12439,558442,5,141
DC,10679,105244,0,92,5109,26,759,14,197,1662,A+,568,5109,485619,39620,407151,38775,1900,149,37,1597,115923,115923,1634,115923,4,0
DE,12531,117674,0,63,5109,12,759,180,197,6901,A+,517,5109,485619,39620,407151,11487,460,57,69,1102,130205,130205,1171,130205,2,0
FL,232718,2124680,1896,961,17479,379,759,180,197,0,A,4111,17479,2855852,291210,2558651,232718,4111,149,8935,28256,2359294,2357398,37191,2357398,120,411
GA,106727,912695,0,2322,12606,379,2519,180,197,0,A,2930,12606,1019422,97500,921922,106727,1900,149,2837,16176,1019422,1019422,19013,1019422,8,106
GU,309,16223,0,3,5109,379,759,180,197,202,B,5,5109,16526,39620,407151,301,1900,149,2,390,16532,16532,392,16532,0,0
HI,1094,88058,0,961,122,379,759,180,197,811,D,19,122,105290,39620,407151,38775,1900,149,23,2033,89152,89152,2056,89152,0,3
IA,33240,321419,0,168,5109,49,759,22,197,26340,A+,739,5109,485619,39620,407151,33240,1900,149,731,7577,354659,354659,8308,354659,4,0
ID,8969,105651,0,120,411,28,133,180,197,2978,A,98,411,113958,39620,407151,8307,78,20,430,2859,114620,114620,3289,114620,4,15
IL,151572,1728306,0,1507,5109,317,759,153,197,0,A,7329,5109,1878756,39620,407151,150450,7119,210,1018,35162,1879878,1879878,36180,1879878,20,0
IN,49575,492717,0,686,7386,226,1556,89,197,37795,A+,2739,7386,485619,39620,407151,38775,2546,193,512,5923,542292,542292,6435,542292,7,21
KS,17618,190864,0,961,1269,379,397,180,160,879,A,282,1269,485619,39620,407151,38775,1900,149,0,0,208482,208482,0,208482,0,0
KY,18245,405768,0,457,2747,105,1007,180,197,4939,B,612,2747,485619,39620,407151,17491,608,4,326,7766,424013,424013,8092,424013,4,10
LA,71994,808146,0,1042,5109,379,759,110,197,46334,B,3355,5109,485619,39620,407151,38775,3247,108,1843,12560,880140,880140,14403,880140,16,0
MA,110897,814864,0,635,11559,103,759,42,197,94347,A+,8268,11559,1171180,39620,407151,105138,8053,215,295,9471,925761,925761,9766,925761,25,42
MD,71447,541134,0,406,11221,139,759,180,197,5132,A,3288,11221,761395,39620,407151,71447,3160,128,586,8887,612581,612581,9473,612581,13,37
ME,3486,112272,0,16,365,7,759,4,197,2901,A+,111,365,115364,4263,110933,3092,110,1,26,2794,115758,115758,2820,115758,1,2
MI,75063,1148490,0,505,5109,174,759,93,197,52841,A+,6271,5109,1241962,93472,1148490,67683,6024,247,512,23038,1223553,1223553,23550,1223553,9,0
MN,40163,665277,0,251,4305,116,1312,180,197,35193,A,1528,4305,705440,39620,407151,40163,1490,38,574,11896,705440,705440,12470,705440,5,33
MO,25999,428826,0,811,5109,379,759,75,197,0,B,1051,5109,563325,30270,532133,25999,1900,149,795,11690,454825,454825,12485,454825,5,0
MP,31,10734,0,961,4,379,759,180,197,19,D,2,4,11335,39620,407151,31,2,149,0,0,10765,10765,0,10765,0,4
MS,33591,291213,0,941,3414,187,759,104,197,22167,A,1204,3414,324522,39620,407151,33309,1184,20,703,7782,324804,324804,8485,324804,16,49
MT,1466,107299,0,24,120,379,759,180,197,796,C,25,120,485619,39620,407151,1466,1900,149,95,2249,108765,108765,2344,108765,2,3
NC,79349,1042462,0,1034,5109,379,759,180,197,55318,A,1461,5109,485619,39620,407151,79349,1461,149,2039,23090,1121811,1121811,25129,1121811,20,0
ND,4070,113779,0,30,257,379,759,180,197,3464,D,78,257,214167,39620,407151,4070,74,4,99,1911,117849,117849,2010,117849,0,5
NE,20425,177410,0,97,1405,379,759,180,197,15031,B,282,1405,485619,39620,407151,20425,1900,149,224,2563,197835,197835,2787,197835,0,7
NH,5952,123676,0,22,578,379,164,180,197,4817,B,386,578,485619,39620,407151,5952,1900,149,20,1097,129628,129628,1117,129628,2,1
NJ,174240,1425177,0,963,20505,170,759,104,197,30938,A+,15448,20505,485619,39620,407151,174240,13501,1947,201,21368,1599417,1599417,21569,1599417,25,79
NM,14017,375670,0,154,2101,379,759,180,197,6051,B,527,2101,485619,39620,407151,14017,1900,149,290,4155,389687,389687,4445,389687,8,45
NV,24904,304874,0,935,5109,237,759,112,197,759,A+,571,5109,408611,39620,407151,24904,1900,149,603,5522,329778,329778,6125,329778,18,0
NY,399513,4068503,0,851,89995,173,759,98,197,71279,A,24959,89995,485619,39620,407151,399513,1900,149,584,64980,4468016,4468016,65564,4468016,15,0
OH,61331,855071,0,890,8570,289,2146,155,197,42111,B,3006,8570,485619,39620,407151,57506,2749,257,1150,0,916402,916402,1150,916402,15,81
OK,18496,383258,0,453,1893,215,759,180,197,14100,A+,410,1893,404600,20489,383258,18496,1900,149,603,6328,401754,401754,6931,401754,3,89
OR,11188,270887,0,192,1162,59,759,25,197,2977,A+,230,1162,485619,39620,270887,10632,1900,149,371,5437,282075,282075,5808,282075,6,7
PA,92867,787156,0,650,5109,379,759,102,197,71507,A+,6848,5109,485619,39620,407151,90202,1900,149,719,12778,880023,880023,13497,880023,36,0
PR,8862,255766,0,147,5109,11,759,7,197,0,B,159,5109,258001,3966,253922,2235,64,95,117,63080,264628,264628,63197,264628,0,0
RI,17243,147894,0,55,2043,4,759,3,197,1684,A+,974,2043,274980,24790,250190,17243,1900,149,39,1828,165137,165137,1867,165137,3,0
SC,50691,413074,0,1433,3090,379,759,180,197,19181,A,905,3090,463622,63683,399939,50548,898,7,1782,8143,463765,463765,9925,463765,21,0
SD,7336,79974,0,61,718,379,759,180,197,6331,B,101,718,485619,39620,407151,38775,1900,149,94,990,87310,87310,1084,87310,3,9
TN,57591,915123,0,1135,3088,379,759,180,197,33609,A,710,3088,972276,67068,905208,57153,684,26,1605,20150,972714,972714,21755,972714,25,65
TX,230346,2082866,0,9689,5109,379,759,180,197,118326,B,2918,5109,2313212,39620,407151,230346,1900,149,9782,44722,2313212,2313212,54504,2313212,105,0
UT,27356,361377,0,207,1700,74,472,180,204,15661,A+,205,1700,485619,39620,407151,27356,1900,149,601,2372,388733,388733,2973,388733,4,22
VA,67988,685440,370,956,10021,215,759,93,197,9065,A+,1937,10021,750631,39620,407151,65191,1832,105,613,14816,753798,753428,15429,753428,32,39
VI,144,3370,96,961,5109,379,759,180,197,81,C,6,5109,485619,39620,407151,38775,6,149,22,97,3610,3514,119,3514,0,0
VT,1272,71477,0,15,5109,379,759,180,197,1054,B,56,5109,485619,39620,407151,1272,56,149,16,977,72749,72749,993,72749,0,0
WA,37941,607131,0,329,4630,379,759,59,197,0,B,1394,4630,485619,39620,407151,37941,1394,149,521,9027,645072,645072,9548,645072,10,48
WI,37210,623554,168,285,3726,76,787,180,197,26792,A+,816,3726,485619,39620,407151,33908,809,7,800,12404,660932,660764,13204,660764,2,43
WV,3826,193363,0,50,5109,15,759,6,197,2718,B,95,5109,485619,39620,407151,3718,1900,149,119,3155,197189,197189,3274,197189,0,0
WY,1774,37271,0,12,121,379,759,180,197,1313,B,21,121,53488,1551,51936,1428,1900,149,34,1193,39045,39045,1227,39045,0,1
AK,1226,132175,0,30,5109,379,759,0,197,563,A,17,5109,133401,39620,407151,1226,17,149,42,1939,133401,133401,1981,133401,0,0
AL,46962,421330,0,1116,3006,379,871,180,486,22082,B,1058,3006,485619,39620,407151,46424,1032,26,1177,5751,468292,468292,6928,468292,25,45
AR,24512,328760,0,358,1655,379,759,89,254,18725,A,301,1655,353272,39620,407151,24512,1900,149,0,2617,353272,353272,2617,353272,9,51
AS,0,816,0,961,5109,379,759,180,197,0,C,0,5109,485619,39620,407151,0,1900,149,0,120,816,816,120,816,0,0
AZ,108614,532456,0,3421,5387,871,759,570,197,12803,A+,1963,5387,640487,39620,407151,108031,1842,121,3520,8753,641070,641070,12273,641070,36,115
CA,289468,4706707,0,7705,5109,1976,759,180,197,0,B,6562,5109,4996175,39620,407151,289468,1900,149,11694,88111,4996175,4996175,99805,4996175,114,0
CO,34664,330409,0,335,5741,379,759,180,197,4669,A,1542,5741,485619,39620,407151,31736,1900,149,407,4026,365073,365073,4433,365073,0,150
CT,47108,498895,0,88,10411,379,759,180,197,8210,B,4343,10411,543636,39620,407151,44741,3471,872,75,8102,546003,546003,8177,546003,5,0
DC,10642,103647,0,86,5109,30,759,17,197,1625,A+,564,5109,485619,39620,407151,38775,1900,149,73,3839,114289,114289,3912,114289,3,0
DE,12462,116572,0,57,5109,11,759,180,197,6851,A+,515,5109,485619,39620,407151,11418,458,57,48,301,129034,129034,349,129034,1,0
FL,223783,2096424,1773,961,17068,379,759,180,197,0,A,3991,17068,2806420,280774,2519880,223783,3991,149,9989,41024,2321980,2320207,51013,2320207,48,335
GA,103890,896519,0,2215,12500,379,2502,180,197,0,A,2922,12500,1000409,94773,905636,103890,1900,149,3420,17537,1000409,1000409,20957,1000409,23,274
GU,307,15833,0,3,5109,379,759,180,197,202,B,5,5109,16232,39620,407151,299,1900,149,4,225,16140,16140,229,16140,0,0
HI,1071,86025,0,961,119,379,759,180,197,797,D,19,119,102674,39620,407151,38775,1900,149,41,1382,87096,87096,1423,87096,0,0
IA,32509,313842,0,165,5109,44,759,23,197,25974,A+,735,5109,485619,39620,407151,32509,1900,149,480,6573,346351,346351,7053,346351,10,0
ID,8539,102792,0,118,396,26,130,180,197,2932,A,94,396,110676,39620,407151,7884,74,20,487,2303,111331,111331,2790,111331,0,9
IL,150554,1693144,0,1385,5109,320,759,153,197,0,A,7309,5109,1842576,39620,407151,149432,7099,210,980,31762,1843698,1843698,32742,1843698,36,0
IN,49063,486794,0,667,7365,217,1551,87,197,37462,A+,2732,7365,485619,39620,407151,38775,2539,193,437,5345,535857,535857,5782,535857,15,32
KS,17618,190864,0,961,1269,379,397,180,160,879,A,282,1269,485619,39620,407151,38775,1900,149,717,5546,208482,208482,6263,208482,2,34
KY,17919,398002,0,453,2737,111,1007,180,197,4912,B,608,2737,485619,39620,407151,17202,604,4,400,5649,415921,415921,6049,415921,6,29
LA,70151,795586,0,1022,5109,379,759,105,197,46334,B,3339,5109,485619,39620,407151,38775,3231,108,1888,16251,865737,865737,18139,865737,20,0
MA,110602,805393,0,662,11517,102,759,49,197,94347,A+,8243,11517,1157023,39620,407151,104961,8028,215,264,8971,915995,915995,9235,915995,30,28
MD,70861,532247,0,398,11184,136,759,180,197,5085,A,3275,11184,746274,39620,407151,70861,3149,126,465,8265,603108,603108,8730,603108,9,73
ME,3460,109478,0,22,363,8,759,5,197,2856,A+,110,363,112543,4226,108154,3065,109,1,20,2012,112938,112938,2032,112938,0,3
MI,74551,1125452,0,505,5109,174,759,93,197,52841,A+,6262,5109,1218053,92601,1125452,67237,6015,247,651,22841,1200003,1200003,23492,1200003,11,0
MN,39589,653381,0,265,4272,122,1302,180,197,34902,A,1523,4272,692970,39620,407151,39589,1485,38,456,7267,692970,692970,7723,692970,9,20
MO,25204,417136,0,694,5109,379,759,74,197,0,B,1046,5109,547352,29458,517004,25204,1900,149,575,6417,442340,442340,6992,442340,4,0
MP,31,10734,0,961,5109,379,759,180,197,19,D,2,5109,10765,39620,407151,31,2,149,0,2547,10765,10765,2547,10765,0,0
MS,32888,283431,0,883,3365,190,759,101,197,22167,A,1188,3365,314459,39620,407151,32620,1168,20,674,0,316319,316319,674,316319,30,50
MT,1371,105050,0,22,117,379,759,180,197,759,C,23,117,485619,39620,407151,1371,1900,149,44,1050,106421,106421,1094,106421,0,0
NC,77310,1019372,0,994,5109,379,759,180,197,55318,A,1441,5109,485619,39620,407151,77310,1441,149,1435,23957,1096682,1096682,25392,1096682,21,0
ND,3971,111868,0,26,252,379,759,180,197,3447,D,78,252,208192,39620,407151,3971,74,4,73,1409,115839,115839,1482,115839,-3,4
NE,20201,174847,0,102,1398,379,759,180,197,14927,B,282,1398,485619,39620,407151,20201,1900,149,155,1820,195048,195048,1975,195048,-1,29
NH,5932,122579,0,24,577,379,164,180,197,4758,B,384,577,485619,39620,407151,5932,1900,149,18,613,128511,128511,631,128511,2,3
NJ,174039,1403809,0,935,20426,175,759,142,197,30844,A+,15423,20426,485619,39620,407151,174039,13476,1947,161,17554,1577848,1577848,17715,1577848,142,180
